,US-JP_2Y,US-AU_2Y,US-CA_2Y,US-EU_2Y,US-GB_2Y,US-JP_10Y,US-AU_10Y,US-CA_10Y,US-EU_10Y,US-GB_10Y,US-JP_CPI_YOY,US-AU_CPI_YOY,US-CA_CPI_YOY,US-EU_CPI_YOY,US-GB_CPI_YOY,VIX
2011-08-15,0.19,0.19,0.19,0.19,0.19,1.2670000000000001,-2.2024999999999997,-0.15636363636364026,-1.9180945255561497,-0.49330000000000007,3.543360141726648,0.3352935797124701,0.6701639343551502,1.1886908658847117,-0.11668538522111582,31.87
2011-08-16,0.2,0.2,0.2,0.2,0.2,1.207,-2.2624999999999997,-0.2163636363636403,-1.9780945255561497,-0.5533000000000001,3.543360141726648,0.3352935797124701,0.6701639343551502,1.1886908658847117,-0.11668538522111582,32.85
2011-08-17,0.19,0.19,0.19,0.19,0.19,1.147,-2.3225,-0.27636363636364036,-2.03809452555615,-0.6133000000000002,3.543360141726648,0.3352935797124701,0.6701639343551502,1.1886908658847117,-0.11668538522111582,31.58
2011-08-18,0.2,0.2,0.2,0.2,0.2,1.0570000000000002,-2.4124999999999996,-0.3663636363636402,-2.1280945255561496,-0.7033,3.543360141726648,0.3352935797124701,0.6701639343551502,1.1886908658847117,-0.11668538522111582,42.67
2011-08-19,0.2,0.2,0.2,0.2,0.2,1.047,-2.4225,-0.37636363636364045,-2.13809452555615,-0.7133000000000003,3.543360141726648,0.3352935797124701,0.6701639343551502,1.1886908658847117,-0.11668538522111582,43.05
2011-08-22,0.22,0.22,0.22,0.22,0.22,1.0770000000000002,-2.3924999999999996,-0.3463636363636402,-2.1080945255561496,-0.6833,3.543360141726648,0.3352935797124701,0.6701639343551502,1.1886908658847117,-0.11668538522111582,42.44
2011-08-23,0.22,0.22,0.22,0.22,0.22,1.127,-2.3425,-0.2963636363636404,-2.05809452555615,-0.6333000000000002,3.543360141726648,0.3352935797124701,0.6701639343551502,1.1886908658847117,-0.11668538522111582,36.27
2011-08-24,0.23,0.23,0.23,0.23,0.23,1.2670000000000001,-2.2024999999999997,-0.15636363636364026,-1.9180945255561497,-0.49330000000000007,3.543360141726648,0.3352935797124701,0.6701639343551502,1.1886908658847117,-0.11668538522111582,35.9
2011-08-25,0.22,0.22,0.22,0.22,0.22,1.207,-2.2624999999999997,-0.2163636363636403,-1.9780945255561497,-0.5533000000000001,3.543360141726648,0.3352935797124701,0.6701639343551502,1.1886908658847117,-0.11668538522111582,39.76
2011-08-26,0.2,0.2,0.2,0.2,0.2,1.167,-2.3024999999999998,-0.25636363636364035,-2.0180945255561498,-0.5933000000000002,3.543360141726648,0.3352935797124701,0.6701639343551502,1.1886908658847117,-0.11668538522111582,35.59
